株ID,株名,配当金（一株あたり）,配当金支払い日,資本金,従業員数,タイプ（大・中・小）,書類（日・米・欧）
536,日本株536,169,4月28日,36536129243,4980,大,日
537,日本株537,210,10月30日,49049431929,2691,中,日
538,日本株538,248,2月17日,52422018546,3894,大,日
539,日本株539,235,5月26日,79020685175,4201,大,日
540,日本株540,22,4月30日,48808091368,3036,大,日
541,日本株541,211,4月6日,61688857543,1997,中,日
542,日本株542,10,5月24日,4016940131,4685,大,日
543,日本株543,75,2月26日,70630523018,389,小,日
544,日本株544,75,9月20日,93292592806,509,小,日
545,日本株545,73,7月30日,79708912724,806,小,日
546,日本株546,62,10月23日,76175739927,2130,中,日
547,日本株547,16,5月21日,85563003731,2610,中,日
548,日本株548,169,5月2日,95819081933,1786,中,日
549,日本株549,110,2月14日,48009300109,1663,中,日
550,日本株550,234,8月17日,82346674824,1692,中,日
551,日本株551,60,12月13日,34536894489,3011,大,日
552,日本株552,176,12月3日,12112956296,3315,大,日
553,日本株553,254,8月29日,28629913702,2489,中,日
554,日本株554,152,2月24日,41474850751,3633,大,日
555,日本株555,248,3月18日,37063382126,3604,大,日
556,日本株556,171,3月27日,52781228087,4454,大,日
557,日本株557,228,7月9日,26349036291,4460,大,日
558,日本株558,14,11月28日,68667117389,4758,大,日
559,日本株559,30,8月11日,81834515080,3768,大,日
560,日本株560,40,3月17日,37904019328,1611,中,日
561,日本株561,265,3月23日,77933957876,913,小,日
562,日本株562,52,12月2日,81019911488,1119,中,日
563,日本株563,175,1月18日,62168497157,694,小,日
564,日本株564,292,10月1日,14394545949,150,小,日
565,日本株565,124,9月28日,94217832239,4708,大,日
566,日本株566,86,9月6日,32922594978,2718,中,日
567,日本株567,93,12月13日,6203771667,3750,大,日
568,日本株568,216,10月7日,39421301049,3719,大,日
569,日本株569,119,4月5日,90112483650,2252,中,日
570,日本株570,267,2月5日,30928350572,4688,大,日
571,日本株571,176,12月7日,70989207187,4989,大,日
572,日本株572,37,9月22日,37427055154,3883,大,日
573,日本株573,47,10月6日,40226109125,362,小,日
574,日本株574,279,4月9日,80220218548,3664,大,日
575,日本株575,269,7月1日,85635054895,2628,中,日
576,日本株576,45,5月1日,73698629028,809,小,日
577,日本株577,35,10月9日,69941253918,249,小,日
578,日本株578,131,4月19日,68987458539,3709,大,日
579,日本株579,99,9月23日,38581371620,4356,大,日
580,日本株580,175,7月3日,88344476736,2865,中,日
581,日本株581,87,8月28日,19243123383,2718,中,日
582,日本株582,125,1月21日,23419728035,1707,中,日
583,日本株583,209,8月15日,10750172906,3691,大,日
584,日本株584,124,10月3日,53139912256,2128,中,日
585,日本株585,269,1月20日,26421087455,3443,大,日
586,日本株586,170,10月26日,20012103824,4314,大,日
587,日本株587,220,1月24日,22448870510,2666,中,日
588,日本株588,217,4月18日,65492706354,1629,中,日
589,日本株589,284,2月25日,78292640555,2557,中,日
590,日本株590,51,3月12日,49727248616,4314,大,日
591,日本株591,227,2月4日,48809280873,1349,中,日
592,日本株592,41,8月14日,71663642741,3357,大,日
593,日本株593,278,4月29日,68166299070,2332,中,日
594,日本株594,28,6月24日,1322168711,4468,大,日
595,日本株595,93,5月22日,3241550368,1989,中,日
596,日本株596,14,9月4日,63081188503,376,小,日
597,日本株597,92,7月21日,86186352761,1127,中,日
598,日本株598,81,11月16日,8213502758,2444,中,日
599,日本株599,111,9月16日,27963934076,4951,大,日
600,日本株600,236,5月25日,2306523460,1007,中,日
601,日本株601,22,10月26日,22814261225,2149,中,日
602,日本株602,225,12月13日,88802985961,898,小,日
603,日本株603,154,10月17日,9341855606,2203,中,日
604,日本株604,130,9月2日,6166664869,1985,中,日
605,日本株605,208,9月21日,38157409069,2521,中,日
606,日本株606,74,2月15日,25452024814,2854,中,日
607,日本株607,202,1月19日,21040554700,2356,中,日
608,日本株608,130,12月25日,62881987974,4940,大,日
609,日本株609,181,4月2日,46239699172,3311,大,日
610,日本株610,33,10月1日,43472078506,3965,大,日
611,日本株611,248,6月13日,65525057628,3422,大,日
612,日本株612,285,4月22日,38545936243,3952,大,日
613,日本株613,294,12月28日,61911130449,120,小,日
614,日本株614,189,5月24日,75360251576,1150,中,日
615,日本株615,128,1月21日,68624808295,1180,中,日
616,日本株616,30,11月6日,98361720012,3839,大,日
617,日本株617,78,6月28日,41506160473,984,小,日
618,日本株618,13,7月10日,20236455886,1636,中,日
619,日本株619,15,8月23日,58498465320,1857,中,日
620,日本株620,218,5月20日,898206159,1812,中,日
621,日本株621,71,11月15日,42703810308,1624,中,日
622,日本株622,129,1月26日,81543364161,950,小,日
623,日本株623,129,7月19日,32466113787,3081,大,日
624,日本株624,109,3月31日,98607328749,2423,中,日
625,日本株625,226,8月20日,27539971524,4079,大,日
626,日本株626,242,1月18日,41697125148,1756,中,日
627,日本株627,131,3月19日,10709748670,266,小,日
628,日本株628,224,12月12日,48482459754,181,小,日
629,日本株629,262,8月25日,31418160517,3293,大,日
630,日本株630,94,11月29日,21005522166,4936,大,日
631,日本株631,252,5月5日,58278220,3728,大,日
632,日本株632,247,6月19日,66486126187,971,小,日
633,日本株633,50,3月7日,80710028493,811,小,日
634,日本株634,12,9月3日,84886634634,1739,中,日
635,日本株635,97,5月28日,61365187985,2346,中,日
636,日本株636,77,8月17日,37117084829,880,小,日
637,日本株637,51,12月30日,3232472155,2650,中,日
638,日本株638,31,8月29日,29826232196,4648,大,日
639,日本株639,249,3月1日,97243833116,1873,中,日
640,日本株640,218,10月8日,13067667593,3970,大,日
641,日本株641,237,12月29日,53097603161,3029,大,日
642,日本株642,189,3月16日,69614827202,3521,大,日
643,日本株643,256,12月8日,32499824911,101,小,日
644,日本株644,286,5月14日,55640816804,3843,大,日
645,日本株645,261,1月8日,41291580122,2364,中,日
646,日本株646,57,6月14日,85575974289,3675,大,日
647,日本株647,19,3月24日,87208724432,1195,中,日
648,日本株648,258,7月9日,63723105418,1347,中,日
649,日本株649,84,8月26日,70163526824,334,小,日
650,日本株650,130,5月8日,83008465364,1651,中,日
651,日本株651,65,6月24日,11941108139,1448,中,日
652,日本株652,190,6月29日,12120650342,874,小,日
653,日本株653,50,7月26日,92879489927,2969,中,日
654,日本株654,178,10月16日,95280427488,2030,中,日
655,日本株655,137,1月9日,51729703146,3803,大,日
656,日本株656,198,12月28日,14650528490,1851,中,日
657,日本株657,227,10月15日,35462639138,2856,中,日
658,日本株658,66,10月26日,21077574821,4953,大,日
659,日本株659,296,5月5日,18632416284,2677,中,日
660,日本株660,122,1月18日,69359428011,310,小,日
661,日本株661,199,4月26日,52717140699,3095,大,日
662,日本株662,52,12月25日,75499842826,4286,大,日
663,日本株663,226,2月23日,35313653325,3289,大,日
664,日本株664,13,4月11日,45023377770,449,小,日
665,日本株665,286,4月25日,94225526285,1099,中,日
666,日本株666,283,9月19日,72665483135,4605,大,日
667,日本株667,120,2月15日,75102249822,1487,中,日
668,日本株668,233,7月19日,31587354605,488,小,日
669,日本株669,146,10月24日,47696970485,4157,大,日
670,日本株670,32,8月2日,75154255254,4823,大,日
671,日本株671,34,8月13日,58511967942,4493,大,日
672,日本株672,236,4月1日,91111802808,4531,大,日
673,日本株673,58,6月4日,6803819643,4783,大,日
674,日本株674,24,9月18日,45643374986,4948,大,日
675,日本株675,25,6月13日,15237288068,2583,中,日
676,日本株676,44,10月12日,72783875573,3780,大,日
677,日本株677,122,4月10日,82457770891,2301,中,日
678,日本株678,111,9月9日,31920721796,1092,中,日
679,日本株679,107,2月10日,65627546548,1623,中,日
680,日本株680,119,7月1日,12582472069,3454,大,日
681,日本株681,51,12月3日,41505113355,2340,中,日
682,日本株682,282,9月20日,7584670065,3158,大,日
683,日本株683,223,12月24日,64148290535,1510,中,日
684,日本株684,143,1月5日,93887291182,3607,大,日
685,日本株685,209,1月17日,70933625142,312,小,日
686,日本株686,167,1月14日,39814434002,3784,大,日
687,日本株687,256,1月17日,25465197320,4405,大,日
688,日本株688,264,4月8日,95084941017,4219,大,日
689,日本株689,12,7月30日,8133369687,2907,中,日
690,日本株690,218,1月27日,71415975557,1302,中,日
691,日本株691,263,6月27日,64967162301,94,小,日
692,日本株692,48,6月11日,80494365263,624,小,日
693,日本株693,142,4月27日,94687346523,138,小,日
694,日本株694,283,9月20日,76522148318,1455,中,日
695,日本株695,87,8月11日,87396492399,3440,大,日
696,日本株696,164,1月14日,97230560166,965,小,日
697,日本株697,91,6月9日,73709113516,2607,中,日
698,日本株698,157,11月13日,53012671960,2062,中,日
699,日本株699,109,11月2日,92109621964,2900,中,日
700,日本株700,88,11月4日,5322848779,3406,大,日
701,日本株701,206,1月25日,37313592979,3218,大,日
702,日本株702,251,12月6日,13756318694,1908,中,日
703,日本株703,224,11月22日,53530850010,4168,大,日
704,日本株704,203,1月4日,44824813761,209,小,日
705,日本株705,145,3月30日,82816455061,2290,中,日
706,日本株706,84,6月20日,50208228345,252,小,日
707,日本株707,231,4月19日,78844238116,209,小,日
708,日本株708,93,8月19日,92047464932,1353,中,日
709,日本株709,91,8月5日,99552649963,1079,中,日
710,日本株710,252,6月17日,85454217160,2722,中,日
711,日本株711,191,11月21日,8569381418,2179,中,日
712,日本株712,122,6月1日,22607548805,3015,大,日
713,日本株713,170,12月16日,7644940067,1317,中,日
714,日本株714,212,8月16日,39599853651,3787,大,日
715,日本株715,121,1月16日,16078408492,3304,大,日
716,日本株716,238,3月5日,9123388595,3623,大,日
717,日本株717,217,8月3日,49439957168,4273,大,日
718,日本株718,178,4月7日,62602448269,4040,大,日
719,日本株719,90,1月9日,39202260647,4206,大,日
720,日本株720,129,2月5日,58701889575,4161,大,日
721,日本株721,41,6月15日,34276118384,366,小,日
722,日本株722,32,6月1日,4120833855,193,小,日
723,日本株723,269,4月4日,65276039494,4814,大,日
724,日本株724,132,4月24日,88417034368,1180,中,日
725,日本株725,218,3月20日,2429371139,1931,中,日
726,日本株726,118,1月2日,42661973541,318,小,日
727,日本株727,74,6月3日,21714729595,2904,中,日
728,日本株728,63,11月3日,5108269919,4940,大,日
729,日本株729,206,7月4日,88935210929,2622,中,日
730,日本株730,22,5月22日,1709317494,958,小,日
731,日本株731,126,2月2日,97941943873,3043,大,日
732,日本株732,186,10月27日,44896866415,3321,大,日
733,日本株733,146,12月27日,38523711909,844,小,日
734,日本株734,274,10月14日,14062111592,4772,大,日
735,日本株735,135,12月8日,83932656189,1831,中,日
736,日本株736,216,5月3日,661364224,3928,大,日
737,日本株737,228,2月10日,77411066669,278,小,日
738,日本株738,186,1月5日,82205365837,2453,中,日
739,日本株739,60,5月3日,31656008822,3158,大,日
740,日本株740,176,3月30日,79062113591,3426,大,日
741,日本株741,295,6月9日,17947496569,2939,中,日
742,日本株742,11,3月4日,72344522497,509,小,日
743,日本株743,293,12月17日,59020872364,2435,中,日
744,日本株744,293,4月15日,55299326379,930,小,日
745,日本株745,69,6月2日,4511474895,4295,大,日
746,日本株746,21,10月26日,51327109434,3796,大,日
747,日本株747,40,5月10日,71373666463,2661,中,日
748,日本株748,11,7月6日,13773405812,997,小,日
749,日本株749,118,6月11日,57972919095,1813,中,日
750,日本株750,110,9月15日,36989846023,800,小,日
751,日本株751,62,9月4日,92751538878,1569,中,日
752,日本株752,91,11月28日,14850345636,2613,中,日
753,日本株753,127,7月16日,12118555585,2439,中,日
754,日本株754,177,10月8日,97723491268,2394,中,日
755,日本株755,178,12月28日,54459398440,2260,中,日
756,日本株756,261,1月6日,92103141995,1436,中,日
757,日本株757,98,1月31日,44293360171,4880,大,日
758,日本株758,221,3月20日,37235456249,123,小,日
759,日本株759,260,3月4日,40321144716,2798,中,日
760,日本株760,272,3月6日,53524371531,4411,大,日
761,日本株761,243,4月23日,46819849297,3585,大,日
762,日本株762,215,5月2日,60238050867,814,小,日
763,日本株763,127,7月4日,70036288018,257,小,日
764,日本株764,10,1月11日,74902243947,570,小,日
765,日本株765,59,9月15日,96955221580,4361,大,日
766,日本株766,69,7月25日,64377915911,1440,中,日
767,日本株767,300,7月26日,77545315091,1396,中,日
768,日本株768,125,10月15日,96713881018,2540,中,日
769,日本株769,209,5月16日,74218017938,535,小,日
770,日本株770,39,11月18日,24079353379,1679,中,日
771,日本株771,163,9月27日,17057278583,4077,大,日
772,日本株772,65,12月20日,46015748994,2253,中,日
773,日本株773,296,1月25日,86570812036,4524,大,日
774,日本株774,211,8月30日,51685793604,3813,大,日
775,日本株775,156,2月17日,71732350632,3566,大,日
776,日本株776,279,1月23日,72394206941,372,小,日
777,日本株777,106,1月20日,86396543712,683,小,日
778,日本株778,72,10月2日,52476101913,804,小,日
779,日本株779,75,2月20日,68993057828,1670,中,日
780,日本株780,16,9月6日,79903234015,4147,大,日
781,日本株781,132,5月6日,99035970816,3108,大,日
782,日本株782,80,6月27日,2351234408,649,小,日
783,日本株783,118,12月5日,81919116447,2249,中,日
784,日本株784,170,4月18日,21708249626,4305,大,日
785,日本株785,99,12月29日,48337838791,65,小,日
786,日本株786,11,8月15日,98029285656,3525,大,日
787,日本株787,88,9月7日,31507615937,2816,中,日
788,日本株788,169,3月6日,7117673872,3960,大,日
789,日本株789,286,11月5日,52216029275,4436,大,日
790,日本株790,113,11月7日,65895906895,2774,中,日
791,日本株791,14,3月5日,32297924247,4758,大,日
792,日本株792,178,12月8日,74687665086,4260,大,日
793,日本株793,32,7月3日,15252728129,3259,大,日
794,日本株794,284,2月22日,78821964024,2109,中,日
795,日本株795,21,4月15日,91335266710,2288,中,日
796,日本株796,86,4月5日,61776767906,1250,中,日
797,日本株797,273,2月12日,74003439077,989,小,日
798,日本株798,40,11月19日,83641503780,293,小,日
799,日本株799,108,9月5日,77851107990,2981,中,日
800,日本株800,29,7月29日,11365267397,4452,大,日
801,日本株801,110,7月5日,86929496206,3399,大,日
802,日本株802,98,8月31日,28422639713,1121,中,日
803,日本株803,156,8月26日,1245401010,1890,中,日
804,日本株804,110,12月21日,21327787164,3759,大,日
805,日本株805,146,9月26日,54509487420,943,小,日
806,日本株806,271,10月31日,4497564310,2260,中,日
807,日本株807,96,12月18日,60936839967,3236,大,日
808,日本株808,253,1月31日,24427537830,2057,中,日
809,日本株809,182,5月29日,28986554379,4576,大,日
810,日本株810,214,11月30日,41177396425,2954,中,日
811,日本株811,279,2月8日,50851293233,3622,大,日
812,日本株812,223,5月17日,73226731506,4107,大,日
813,日本株813,300,4月1日,40971886479,2827,中,日
814,日本株814,197,3月7日,54103455043,1775,中,日
815,日本株815,293,5月3日,68105793304,4450,大,日
816,日本株816,68,11月17日,68481018099,266,小,日
817,日本株817,14,8月24日,90820627246,4896,大,日
818,日本株818,51,7月1日,74908064429,599,小,日
819,日本株819,40,9月24日,71697350783,1092,中,日
820,日本株820,291,5月12日,81407075227,2237,中,日
821,日本株821,164,4月24日,93920377913,1510,中,日
822,日本株822,87,1月29日,36615923991,1375,中,日
823,日本株823,211,8月2日,74223839910,1956,中,日
824,日本株824,48,11月27日,39881156150,2623,中,日
825,日本株825,171,3月4日,6283173501,3106,大,日
826,日本株826,248,8月8日,23050933296,1941,中,日
827,日本株827,138,1月27日,33925277377,3527,大,日
828,日本株828,234,2月19日,1198062935,3368,大,日
829,日本株829,164,1月10日,48302840432,4217,大,日
830,日本株830,253,6月20日,23841241605,4351,大,日
831,日本株831,283,11月7日,57022938882,4666,大,日
832,日本株832,298,7月12日,77391958041,2729,中,日
833,日本株833,17,2月28日,33712264679,1221,中,日
834,日本株834,287,2月10日,73706372611,511,小,日
835,日本株835,35,11月25日,78834577443,377,小,日
836,日本株836,152,1月3日,56374543488,1071,中,日
837,日本株837,280,9月14日,19702978484,4711,大,日
838,日本株838,112,9月11日,86345798225,3220,大,日
839,日本株839,53,8月28日,2872755630,1398,中,日
840,日本株840,86,11月22日,69300602107,2528,中,日
841,日本株841,202,6月20日,81009886759,2481,中,日
842,日本株842,106,10月28日,59740182172,2016,中,日
843,日本株843,190,10月17日,3663063939,4468,大,日
844,日本株844,95,8月26日,68553069263,4781,大,日
845,日本株845,246,7月29日,35241719619,2956,中,日
846,日本株846,249,9月18日,35998525350,1450,中,日
847,日本株847,294,3月23日,76028462408,3263,大,日
848,日本株848,42,6月16日,81192496366,2226,中,日
849,日本株849,29,4月24日,58696633286,1198,中,日
850,日本株850,22,10月1日,77506910936,4940,大,日
851,日本株851,119,4月2日,61151253650,3337,大,日
852,日本株852,86,9月6日,31067627372,4148,大,日
853,日本株853,168,6月13日,80794903362,2641,中,日
854,日本株854,80,7月6日,85302569525,2596,中,日
855,日本株855,112,11月5日,17589943750,1132,中,日
856,日本株856,196,7月17日,6020981372,3469,大,日
857,日本株857,102,9月3日,48374893087,1919,中,日
858,日本株858,253,12月30日,15027712827,3236,大,日
859,日本株859,126,11月24日,18113401294,4041,大,日
860,日本株860,235,1月9日,18292943497,2378,中,日
861,日本株861,194,4月3日,61014318700,1225,中,日
862,日本株862,262,2月10日,73491793750,2834,中,日
863,日本株863,36,1月30日,57328733270,3942,大,日
864,日本株864,221,1月26日,43301958719,135,小,日
865,日本株865,27,7月28日,64114069367,3247,大,日
866,日本株866,264,4月1日,60580896570,2096,中,日
867,日本株867,21,5月27日,65124391859,4234,大,日
868,日本株868,60,3月14日,97437595210,1866,中,日
869,日本株869,293,8月15日,88125857316,266,小,日
870,日本株870,70,6月22日,81672137471,920,小,日
871,日本株871,58,10月17日,4021748108,2238,中,日
872,日本株872,94,9月11日,23808005572,726,小,日
873,日本株873,259,5月18日,407819440,1377,中,日
874,日本株874,291,10月11日,43093365518,2975,中,日
875,日本株875,203,11月27日,6548234255,2291,中,日
876,日本株876,132,12月20日,37186384730,2943,中,日
877,日本株877,162,11月14日,23123781053,1609,中,日
878,日本株878,266,12月4日,23692848721,2247,中,日
879,日本株879,125,4月21日,17902451440,2734,中,日
880,日本株880,254,12月22日,84878605483,2121,中,日
881,日本株881,183,10月10日,54759150080,4717,大,日
882,日本株882,175,3月12日,40374085762,3104,大,日
883,日本株883,21,8月7日,41286744461,3873,大,日
884,日本株884,225,5月14日,61369130614,3215,大,日
885,日本株885,261,5月12日,34354180103,3562,大,日
886,日本株886,289,12月13日,57396913670,4669,大,日
887,日本株887,173,5月17日,53639540049,863,小,日
888,日本株888,105,1月13日,66188671861,1571,中,日
889,日本株889,299,10月20日,3680151058,3464,大,日
890,日本株890,65,6月11日,33634127948,610,小,日
891,日本株891,297,7月2日,12686882512,1249,中,日
892,日本株892,299,11月25日,53277774680,1735,中,日
893,日本株893,205,4月22日,66993481426,1233,中,日
894,日本株894,59,8月31日,34545143288,1402,中,日
895,日本株895,116,12月29日,73420527757,744,小,日
896,日本株896,123,6月28日,21144395920,2874,中,日
897,日本株897,173,3月10日,96708626219,2313,中,日
898,日本株898,202,9月10日,23312386259,3956,大,日
899,日本株899,257,12月21日,37218736003,1356,中,日
900,日本株900,114,3月4日,5980557136,4815,大,日
901,日本株901,208,10月31日,46010494195,570,小,日
902,日本株902,240,8月16日,39270449051,2578,中,日
903,日本株903,32,11月12日,13455950282,4564,大,日
904,日本株904,238,4月19日,92534533972,3340,大,日
905,日本株905,240,6月4日,58936551323,734,小,日
906,日本株906,17,2月16日,46779474635,688,小,日
907,日本株907,291,6月25日,69884638892,518,小,日
908,日本株908,84,4月28日,53278179216,1024,中,日
909,日本株909,64,7月19日,10138431201,4508,大,日
910,日本株910,34,7月9日,76494619427,1314,中,日
911,日本株911,14,7月7日,5427260712,4073,大,日
912,日本株912,199,11月11日,72594059243,1584,中,日
913,日本株913,131,7月3日,8302648424,3580,大,日
914,日本株914,150,9月21日,48296754866,3320,大,日
915,日本株915,188,3月6日,67429493157,3149,大,日
916,日本株916,201,11月29日,18106921325,4792,大,日
917,日本株917,272,4月28日,48091243430,3567,大,日
918,日本株918,247,12月24日,33419547598,1297,中,日
919,日本株919,51,5月29日,49101564432,3440,大,日
920,日本株920,14,1月14日,81414769273,633,小,日
921,日本株921,246,5月15日,57893322623,1251,中,日
922,日本株922,71,7月27日,65649311534,126,小,日
923,日本株923,116,4月9日,78816709224,1431,中,日
924,日本株924,21,7月15日,7785179635,1212,中,日
925,日本株925,213,6月10日,763104840,583,小,日
926,日本株926,28,7月11日,90371693752,2695,中,日
927,日本株927,156,9月29日,90515408319,2323,中,日
928,日本株928,114,12月23日,47287144617,3429,大,日
929,日本株929,142,12月20日,7100955116,1461,中,日
930,日本株930,220,9月4日,30170290248,2567,中,日
931,日本株931,52,10月11日,15534422051,3048,大,日
932,日本株932,283,4月19日,82183835553,2441,中,日
933,日本株933,110,11月1日,61236591607,86,小,日
934,日本株934,194,4月5日,37965947347,2887,中,日
935,日本株935,19,12月3日,70243323062,4193,大,日
936,日本株936,212,1月25日,31157727802,3181,大,日
937,日本株937,280,5月2日,40831621630,211,小,日
938,日本株938,18,3月29日,89711308015,863,小,日
939,日本株939,267,7月27日,70193516085,4333,大,日
940,日本株940,98,2月5日,72666113388,1438,中,日
941,日本株941,210,7月2日,27108966951,113,小,日
942,日本株942,83,10月7日,40111566495,916,小,日
943,日本株943,25,7月25日,9992112582,1570,中,日
944,日本株944,292,8月7日,95382073510,687,小,日
945,日本株945,224,8月18日,90135665805,1568,中,日
946,日本株946,46,8月20日,41022584815,4575,大,日
947,日本株947,135,1月21日,80184600799,4743,大,日
948,日本株948,141,9月21日,7723543819,2375,中,日
949,日本株949,160,9月22日,70885171553,81,小,日
950,日本株950,221,5月2日,80236606231,2179,中,日
951,日本株951,127,8月12日,27155701137,857,小,日
952,日本株952,85,1月13日,60898357994,1235,中,日
953,日本株953,77,6月22日,10110505019,3743,大,日
954,日本株954,35,11月24日,20035202727,2080,中,日
955,日本株955,219,9月4日,3392913926,2885,中,日
956,日本株956,199,12月9日,56634544797,1108,中,日
957,日本株957,136,12月21日,86051086293,2538,中,日
958,日本株958,204,1月10日,36716439768,4535,大,日
959,日本株959,155,4月16日,33984649717,3692,大,日
960,日本株960,243,12月18日,17664821556,4198,大,日
961,日本株961,250,3月10日,87535366153,3996,大,日
962,日本株962,269,7月10日,3905784422,2671,中,日
963,日本株963,201,2月25日,60058428565,1181,中,日
964,日本株964,279,5月31日,62531025867,4923,大,日
965,日本株965,26,5月14日,75729346094,234,小,日
966,日本株966,120,4月10日,90173129743,429,小,日
967,日本株967,267,9月11日,72330390689,1083,中,日
968,日本株968,31,7月1日,85533618995,3165,大,日
969,日本株969,140,12月30日,89680988282,221,小,日
970,日本株970,78,5月24日,65837079502,1539,中,日
971,日本株971,145,10月27日,16538262102,1676,中,日
972,日本株972,103,10月24日,13842301177,2692,中,日
973,日本株973,55,10月14日,99769697500,3310,大,日
974,日本株974,192,12月26日,29728191970,3110,大,日
975,日本株975,237,11月8日,19638014259,1673,中,日
976,日本株976,218,12月14日,49088292972,2818,中,日
977,日本株977,227,10月7日,42352848201,3936,大,日
978,日本株978,123,3月9日,57808391422,628,小,日
979,日本株979,62,5月21日,23229571738,4382,大,日
980,日本株980,208,1月10日,52188042149,3672,大,日
981,日本株981,263,5月21日,65355441329,963,小,日
982,日本株982,89,5月8日,93973669558,790,小,日
983,日本株983,174,3月12日,70452222908,1770,中,日
984,日本株984,113,11月5日,72120802176,1791,中,日
985,日本株985,44,5月15日,14484712401,2806,中,日
986,日本株986,164,10月23日,2065958171,1110,中,日
987,日本株987,205,7月26日,34343333887,3227,大,日
988,日本株988,107,12月19日,21995933182,3181,大,日
989,日本株989,225,3月27日,4645000940,3385,大,日
990,日本株990,234,7月7日,44639108873,4051,大,日
991,日本株991,136,3月18日,60130482709,3834,大,日
992,日本株992,74,12月18日,27880542780,4611,大,日
993,日本株993,105,1月18日,54510131946,3884,大,日
994,日本株994,270,5月30日,30048533119,4915,大,日
995,日本株995,15,5月16日,99632446201,4744,大,日
996,日本株996,253,3月28日,59482085825,3406,大,日
997,日本株997,120,3月14日,54235676630,904,小,日
998,日本株998,206,3月2日,94547337124,1557,中,日
999,日本株999,105,12月16日,35112401656,112,小,日
1000,日本株1000,10,5月14日,14200985346,2682,中,日
1001,米国株1001,55,10月15日,4110807635,4816,大,米
1002,米国株1002,193,7月25日,86714047758,2499,中,米
1003,米国株1003,39,4月23日,96934298324,738,小,米
1004,米国株1004,104,1月3日,93212752340,2835,中,米
1005,米国株1005,170,10月6日,42711530880,3610,大,米
1006,米国株1006,129,11月14日,36589178764,570,小,米
1007,米国株1007,211,9月27日,9870355453,4031,大,米
1008,米国株1008,112,11月23日,79490099150,1429,中,米
1009,米国株1009,194,4月18日,92528527820,2873,中,米
1010,米国株1010,222,2月2日,34021671328,4855,大,米
1011,米国株1011,174,12月27日,76662213067,3309,大,米
1012,米国株1012,46,4月15日,24142263083,4064,大,米
1013,米国株1013,162,3月1日,94012807680,4316,大,米
1014,米国株1014,288,8月3日,46007000447,3817,大,米
1015,米国株1015,296,5月21日,89015007166,388,小,米
1016,米国株1016,55,2月17日,79085001903,3689,大,米
1017,米国株1017,45,6月6日,50534307210,720,小,米
1018,米国株1018,112,7月24日,99987258115,4586,大,米
1019,米国株1019,70,8月18日,47135353295,3409,大,米
1020,米国株1020,248,5月3日,69510791568,2372,中,米
1021,米国株1021,279,6月20日,92329325801,707,小,米
1022,米国株1022,96,5月27日,49814253565,760,小,米
1023,米国株1023,98,8月30日,515436166,428,小,米
1024,米国株1024,56,7月24日,87244216724,1195,中,米
1025,米国株1025,84,11月19日,9593825872,2049,中,米
1026,米国株1026,114,6月18日,4533153086,2317,中,米
1027,米国株1027,164,9月10日,3328555318,2159,中,米
1028,米国株1028,171,1月19日,46372391162,2024,中,米
1029,米国株1029,229,12月17日,89631176435,1326,中,米
1030,米国株1030,76,1月10日,32899985543,4786,大,米
1031,米国株1031,198,2月18日,33043700110,4868,大,米
1032,米国株1032,237,12月16日,36165216212,2410,中,米
1033,米国株1033,216,2月18日,49332613902,4007,大,米
1034,米国株1034,227,4月16日,44598684637,4659,大,米
1035,米国株1035,193,3月21日,57766082327,4827,大,米
1036,米国株1036,105,6月17日,33597707286,4834,大,米
1037,米国株1037,288,12月25日,67066039058,195,小,米
1038,米国株1038,25,9月6日,89369820570,4139,大,米
1039,米国株1039,62,7月17日,86638029029,1319,中,米
1040,米国株1040,287,6月28日,85469260386,1274,中,米
1041,米国株1041,113,11月6日,88591044614,2317,中,米
1042,米国株1042,197,4月17日,69417169643,327,小,米
1043,米国株1043,24,10月28日,21894019334,1473,中,米
1044,米国株1044,146,6月27日,15194405179,3983,大,米
1045,米国株1045,42,10月4日,41823994345,1523,中,米
1046,米国株1046,233,1月9日,82056596747,3007,大,米
1047,米国株1047,168,8月15日,24420506971,2299,中,米
1048,米国株1048,140,2月9日,37623735276,1513,中,米
1049,米国株1049,257,10月24日,15712581740,3947,大,米
1050,米国株1050,93,10月12日,56024242234,310,小,米
1051,米国株1051,284,6月25日,22426261075,418,小,米
1052,米国株1052,294,11月14日,61479313580,1434,中,米
1053,米国株1053,235,7月15日,87791350184,4022,大,米
1054,米国株1054,54,5月28日,93170357405,2545,中,米
1055,米国株1055,68,5月29日,94218396514,444,小,米
1056,米国株1056,105,11月6日,77476557918,2042,中,米
1057,米国株1057,153,3月28日,17516494976,4082,大,米
1058,米国株1058,55,10月21日,46403307136,4727,大,米
1059,米国株1059,240,7月31日,86671740153,3238,大,米
1060,米国株1060,65,8月23日,26778425894,2414,中,米
1061,米国株1061,147,2月18日,2352654703,2905,中,米
1062,米国株1062,271,2月4日,18285475416,4062,大,米
1063,米国株1063,107,10月29日,60639385641,2061,中,米
1064,米国株1064,291,2月17日,24784179998,4483,大,米
1065,米国株1065,164,11月23日,67138090222,4022,大,米
1066,米国株1066,26,6月5日,20811963053,3023,大,米
1067,米国株1067,222,3月22日,72992181229,2002,中,米
1068,米国株1068,300,3月24日,76369101583,2194,中,米
1069,米国株1069,73,3月6日,57298380252,1041,中,米
